Veg/Non-Veg,Protein,Fruit,Vegetable,Grains,Protein Snack,Taste Enhancer
Non-Veg,Grilled Chicken Breast (150g),Blueberries (100g),Broccoli (150g),Brown Rice (150g),Greek Yogurt (200g),Extra Virgin Olive Oil (2 TSP)
Non-Veg,Salmon (150g),Strawberries (100g),Spinach (150g),Quinoa (150g),Almonds (30g),Balsamic Vinegar (2 TBSP)
Veg,Tofu (150g),Mixed Berries (100g),Kale (150g),Oats (150g),Cottage Cheese (200g),Avocado (1/4 medium)
Non-Veg,Lean Beef (150g),Apple,Carrots (150g),Whole Wheat Pasta (150g),Hard-Boiled Eggs (2),Lemon Juice (2 TSP)
Non-Veg,Turkey Breast (150g),Banana,Asparagus (150g),Whole Grain Bread (2 slices),Peanut Butter (2 TBSP),Honey (1 TBSP)
Non-Veg,Low-Fat Greek Yogurt (200g),Orange,Cauliflower (150g),Couscous (150g),Protein Bar,Salsa (2 TBSP)
Veg,Eggs (2),Kiwi,Green Beans (150g),Barley (150g),Jerky (30g),Soy Sauce (2 TSP)
Non-Veg,Grilled Salmon (150g),Pineapple,Zucchini (150g),Buckwheat (150g),Cottage Cheese (200g),Sriracha Sauce (1 TSP)
Non-Veg,Lean Ground Turkey (150g),Grapes,Cucumber (150g),Wild Rice (150g),Mixed Nuts (30g),Dijon Mustard (1 TSP)
Non-Veg,Canned Tuna (150g),Peaches,Bell Peppers (150g),Whole Wheat Tortilla (1),Greek Yogurt (200g),Hot Sauce (2 TSP)
Veg,Chickpeas (150g),Mango,Bell Peppers (150g),Quinoa (150g),Greek Yogurt (200g),Tahini (1 TSP)
Veg,Paneer (150g),Grapes,Broccoli (150g),Brown Rice (150g),Mixed Nuts (30g),Lime Juice (2 TSP)
Non-Veg,Pork Tenderloin (150g),Pineapple,Asparagus (150g),Couscous (150g),Protein Bar,Barbecue Sauce (2 TBSP)
Veg,Lentils (150g),Pears,Spinach (150g),Whole Wheat Bread (2 slices),Cottage Cheese (200g),Salsa (2 TBSP)
Non-Veg,Shrimp (150g),Watermelon,Cauliflower (150g),Whole Grain Pasta (150g),Jerky (30g),Teriyaki Sauce (2 TBSP)
